id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
36,COMP_M,1,1_3,1_(2-3),17,18,12,12,1_2,43.666666666666664,1142.8902711435715,1186.5569378102382,1142.8902711435715,1142.8902711435715
38,COMP_M,3,3_13,M.USER.APP.3,3,28,46,12,None,108.80239520958084,1146.0001357058136,1254.8025309153945,1130.0,1146.0001357058136
34,COMP_M,4,4_21,4_(19-21),34,36,19,19,4_19,70.28070175438596,1148.423604361843,1218.704306116229,1148.423604361843,1148.423604361843
36,COMP_M,1,1_9,1_(2-9),17,24,12,25,1_2,28.83468559837728,1151.8903350275712,1180.7250206259484,1142.8902711435715,1151.8903350275712
34,COMP_M,4,4_22,4_(19-22),34,41,19,36,4_19,82.699173553719,1153.4236533669896,1236.1228269207086,1148.423604361843,1153.4236533669896
36,COMP_M,1,1_4,1_(2-4),17,19,12,16,1_2,22.076262083780883,1153.8904011384914,1175.9666632222722,1142.8902711435715,1153.8904011384914
34,COMP_M,4,4_20,4_(19-20),34,39,19,4,4_19,51.729166666666664,1155.4236584278165,1207.1528250944832,1148.423604361843,1155.4236584278165
32,COMP_M,7,7_32,7_(31-32),58,67,38,8,7_31,77.58790436005626,1156.9264604163661,1234.5143647764223,1152.9264099021796,1156.9264604163661
36,COMP_M,1,1_5,1_(2-5),17,20,12,16,1_2,22.909774436090224,1157.8904400671715,1180.8002145032617,1142.8902711435715,1157.8904400671715
35,COMP_M,7,7_30,7_(29-30),64,57,1,4,7_29,43.18402777777778,1162.7455745326483,1205.9296023104262,1156.745475527715,1162.7455745326483
32,COMP_M,7,7_35,7_(31-35),58,62,38,48,7_31,37.0395809080326,1162.9265829495794,1199.966163857612,1152.9264099021796,1162.9265829495794
40,COMP_M,4,4_19,M.USER.APP.4,7,46,31,22,None,54.641810918774965,1166.0000909291998,1220.6419018479749,1158.0,1166.0000909291998
28,COMP_M,3,3_17,3_(16-17),31,32,18,18,3_16,32.99880525686977,1176.524458801054,1209.5232640579236,1176.524458801054,1176.524458801054
28,COMP_M,3,3_18,3_(16-18),31,33,18,19,3_16,54.404761904761905,1178.5244921584806,1232.9292540632425,1176.524458801054,1178.5244921584806
39,COMP_M,9,9_42,9_(41-42),81,77,23,23,9_41,62.15147058823529,1193.6897528171794,1255.8412234054147,1193.6897528171794,1193.6897528171794
39,COMP_M,9,9_43,9_(41-43),81,78,23,23,9_41,73.28529411764706,1193.6897528171794,1266.9750469348264,1193.6897528171794,1193.6897528171794
39,COMP_M,9,9_44,9_(41-44),81,84,23,23,9_41,50.72352941176471,1193.6897528171794,1244.4132822289441,1193.6897528171794,1193.6897528171794
39,COMP_M,9,9_45,9_(41-45),81,80,23,23,9_41,87.16176470588235,1193.6897528171794,1280.8515175230618,1193.6897528171794,1193.6897528171794
36,COMP_M,1,1_8,1_(3-8),18,23,12,25,1_3,29.417849898580123,1195.557049688278,1224.974899586858,1186.5569378102382,1195.557049688278
36,COMP_M,1,1_6,1_(3-6),18,21,12,16,1_3,21.716433941997852,1197.5570067373183,1219.273440679316,1186.5569378102382,1197.5570067373183
36,COMP_M,1,1_7,1_(3-7),18,22,12,16,1_3,44.23737916219119,1201.5570928531713,1245.7944720153625,1186.5569378102382,1201.5570928531713
